Peça,Material,C,L,Qtde.,EST,Cod. Peça,Família,Cor,Tipo Assistência,Nº AT,Data Pedido,Nº OP,C,L,F,Prancha
TAMPO,AGL25-110001002,"224,800,000","38,600,000","100,000",N,1,HOME_2.2 - COM RODAPE,JEQUITIBA FOSCO,,,,,PVC,C/C,S,1
LATERAL EXTERNA,AGL15-110001001,"35,800,000","34,800,000","200,000",N,2,HOME_2.2 - COM RODAPE,OFF WHITE FOSCO,,,,,,C,S,2
LATERAL INTERNA,AGL15-110001001,"39,500,000","35,600,000","200,000",N,3,HOME_2.2 - COM RODAPE,OFF WHITE FOSCO,,,,,C,,S,2
DIVISAO,AGL15-110001001,"39,500,000","33,300,000","200,000",N,4,HOME_2.2 - COM RODAPE,OFF WHITE FOSCO,,,,,C,,S,2
PRATELEIRA,AGL15-110001001,"76,400,000","33,100,000","100,000",N,5,HOME_2.2 - COM RODAPE,OFF WHITE FOSCO,,,,,C,,N,2
BASE,AGL15-110001001,"212,100,000","35,800,000","100,000",N,6,HOME_2.2 - COM RODAPE,OFF WHITE FOSCO,,,,,C,,S,2
MOLDURA CURVA,MDF30-419999012,"35,700,000","8,500,000","200,000",N,7,HOME_2.2 - COM RODAPE,OFF WHITE FOSCO,,,,,,,S,2
FUNDO LATERAL,MDF2.8-110002001,"72,900,000","43,300,000","200,000",N,8,HOME_2.2 - COM RODAPE,OFF WHITE FOSCO,,,,,,,N,2
FUNDO CENTRAL(COM FURO),MDF2.8-110002001,"77,900,000","43,300,000","100,000",N,9,HOME_2.2 - COM RODAPE,OFF WHITE FOSCO,,,,,,,S,2
TRAVESSA LATERAL,AGL12-110001004,"135,400,000","10,000,000","200,000",N,10,HOME_2.2 - COM RODAPE,JEQUITIBA FOSCO,,,,,,,S,1
TRAVESSA CENTRAL,AGL12-110001004,"134,000,000","10,000,000","200,000",N,11,HOME_2.2 - COM RODAPE,CRU,,,,,,,S,1
TRAVESSA SUPERIOR,AGL12-110001004,"221,200,000","10,000,000","100,000",N,12,HOME_2.2 - COM RODAPE,CRU,,,,,,,S,1
PAINEL INFERIOR,AGL12-110001004,"202,800,000","38,400,000","100,000",N,13,HOME_2.2 - COM RODAPE,OFF WHITE FOSCO,,,,,PVC/C,PVC/PVC,S,2
PAINEL SUPERIOR,AGL12-110001004,"202,800,000","44,900,000","100,000",N,14,HOME_2.2 - COM RODAPE,OFF WHITE FOSCO,,,,,C/C,C/C,S,2
PAINEL CENTRAL,AGL12-110001004,"202,800,000","44,900,000","100,000",N,15,HOME_2.2 - COM RODAPE,OFF WHITE FOSCO,,,,,C/C,C/C,S,2
PRATELEIRA SUPERIOR,AGL25-110001002,"181,800,000","14,600,000","100,000",N,16,HOME_2.2 - COM RODAPE,JEQUITIBA FOSCO,,,,,C,C/C,S,1
TRAVESSA LED,AGL15-110001001,"124,400,000","7,100,000","200,000",N,17,HOME_2.2 - COM RODAPE,CRU,,,,,P,,S,1
APOIO TRAVESSA LED,AGL15-110001001,"115,400,000","10,000,000","200,000",N,18,HOME_2.2 - COM RODAPE,CRU,,,,,,,S,1
MOLDURA ESTRIADA CURVA,MDF40-419999010,"135,600,000","16,000,000","200,000",N,19,HOME_2.2 - COM RODAPE,JEQUITIBA FOSCO,,,,,,,S,1
PORTA CURVA,MDF15-110002002,"76,300,000","41,100,000","200,000",N,20,HOME_2.2 - COM RODAPE,OFF WHITE FOSCO,,,,,PVC/C,PVC/C,S,2
PAINEL ESTRIADO,MDF15-110002002,"64,000,000","20,000,000","300,000",N,21,HOME_2.2 - COM RODAPE,JEQUITIBA FOSCO,,,,,,,N,1
APOIO MOLDURA,AGL12-110001004,"60,300,000","6,000,000","200,000",N,22,HOME_2.2 - COM RODAPE,CRU,,,,,,,S,1
MOLDURA ESTRIADA,MDF15-110002002,"20,000,000","16,000,000","400,000",N,23,HOME_2.2 - COM RODAPE,JEQUITIBA FOSCO,,,,,,,N,1
APOIO PAINEL MAIOR,AGL15-110001001,"125,400,000","10,000,000","200,000",N,24,HOME_2.2 - COM RODAPE,CRU,,,,,,,S,1
APOIO PAINE MENOR,AGL15-110001001,"115,400,000","6,000,000","200,000",N,25,HOME_2.2 - COM RODAPE,CRU,,,,,,,S,1
TRAVESSA APOIO INFERIOR,AGL15-110001001,"43,200,000","7,000,000","400,000",N,26,HOME_2.2 - COM RODAPE,CRU,,,,,,,S,1
RODAPE FRONTAL,AGL15-110001001,"212,300,000","12,000,000","100,000",N,27,HOME_2.2 - COM RODAPE,JEQUITIBA FOSCO,,,,,,C/C,N,1
RODAPE LATERAL,AGL15-110001001,"30,700,000","12,000,000","200,000",N,28,HOME_2.2 - COM RODAPE,JEQUITIBA FOSCO,,,,,,,S,1
RODAPE CENTRAL,AGL15-110001001,"27,200,000","12,000,000","300,000",N,29,HOME_2.2 - COM RODAPE,CRU,,,,,,,S,1
RODAPE TRASEIRO,AGL15-110001001,"208,600,000","12,000,000","100,000",N,30,HOME_2.2 - COM RODAPE,CRU,,,,,,,S,1
